RatingID,UserID,MovieID,Rating,Timestamp
1,8931,128173,1.55,2023-10-02 16:08:49.308527
2,58584,43549,4.36,2022-12-27 16:08:49.308604
3,29885,37,4.41,2022-11-27 16:08:49.308625
4,29634,26937,2.67,2023-02-24 16:08:49.308642
5,103208,82003,3.2,2023-07-30 16:08:49.308660
6,33680,7133,2.58,2023-05-26 16:08:49.308679
7,116849,5427,2.28,2023-07-21 16:08:49.308697
8,78098,96160,1.47,2023-06-24 16:08:49.308714
9,13595,85365,2.35,2023-10-14 16:08:49.308744
10,86131,50585,3.6,2023-09-30 16:08:49.308761
11,22840,96868,4.87,2022-12-13 16:08:49.308787
12,104497,126428,4.95,2022-11-30 16:08:49.308804
13,100550,86279,1.45,2023-01-03 16:08:49.308821
14,56539,53851,2.67,2023-08-14 16:08:49.308847
15,78342,130071,4.72,2022-12-04 16:08:49.308874
16,60800,31337,1.2,2023-06-29 16:08:49.308910
17,1110,71201,1.33,2023-09-14 16:08:49.308926
18,89714,39857,2.57,2023-10-13 16:08:49.308942
19,114932,2467,1.63,2023-05-22 16:08:49.308960
20,51794,892,1.06,2023-06-10 16:08:49.308995
21,78098,101456,2.9,2022-12-27 16:08:49.309011
22,40256,7278,4.54,2022-12-25 16:08:49.309027
23,68005,91957,4.88,2023-05-10 16:08:49.309062
24,14947,69217,4.81,2023-07-09 16:08:49.309078
25,51394,1835,3.4,2023-09-20 16:08:49.309107
26,63365,102557,3.59,2023-01-04 16:08:49.309143
27,126161,117871,4.15,2022-11-10 16:08:49.309159
28,92091,26685,1.35,2023-07-10 16:08:49.309194
29,124726,109806,1.65,2022-10-26 16:08:49.309213
30,23785,88993,2.66,2023-09-14 16:08:49.309230
31,127530,2650,3.0,2022-10-24 16:08:49.309246
32,86131,82904,4.06,2023-06-11 16:08:49.309264
33,91366,129419,2.72,2022-12-19 16:08:49.309286
34,87696,101904,3.15,2023-03-11 16:08:49.309304
35,6690,82141,3.44,2023-07-30 16:08:49.309320
36,43639,44773,2.5,2023-03-19 16:08:49.309337
37,29619,123735,2.2,2023-03-16 16:08:49.309354
38,70547,3223,2.01,2023-07-22 16:08:49.309371
39,35849,80661,4.9,2023-09-08 16:08:49.309423
40,32639,70492,1.53,2022-11-22 16:08:49.309441
41,127606,72321,1.17,2023-08-18 16:08:49.309458
42,109798,71817,1.27,2023-04-27 16:08:49.309475
43,100264,96060,3.33,2023-03-27 16:08:49.309492
44,105614,3075,4.94,2023-05-17 16:08:49.309508
45,96176,3373,1.26,2023-01-02 16:08:49.309525
46,111682,78614,2.32,2023-07-23 16:08:49.309541
47,121856,105918,1.25,2023-10-14 16:08:49.309557
48,38868,623,2.36,2023-09-03 16:08:49.309574
49,74591,1872,1.5,2023-10-03 16:08:49.309590
50,7909,101481,4.09,2023-05-28 16:08:49.309606
51,94190,32329,4.94,2023-02-12 16:08:49.309623
52,82528,101241,4.26,2023-08-09 16:08:49.309640
53,74770,111961,2.74,2023-01-25 16:08:49.309657
54,99280,79278,3.11,2023-07-30 16:08:49.309674
55,32322,91110,1.96,2023-05-29 16:08:49.309690
56,61278,79794,2.42,2023-08-14 16:08:49.309707
57,102160,78974,3.08,2023-03-15 16:08:49.309724
58,14121,106498,4.23,2023-05-28 16:08:49.309741
59,85226,72733,2.13,2023-04-27 16:08:49.309758
60,30751,82732,2.0,2023-03-27 16:08:49.309775
61,29619,50253,2.72,2023-09-13 16:08:49.309792
62,7542,74431,4.77,2023-06-29 16:08:49.309808
63,28054,3620,3.16,2023-05-27 16:08:49.309825
64,51684,7917,2.74,2023-02-15 16:08:49.309853
65,43460,37384,4.48,2023-03-31 16:08:49.309870
66,134788,7650,1.16,2023-02-13 16:08:49.309888
67,66658,87693,1.16,2023-08-07 16:08:49.309905
68,127265,5424,3.29,2022-12-27 16:08:49.309921
69,27629,1872,4.89,2022-12-08 16:08:49.309938
70,18619,86314,1.25,2023-08-05 16:08:49.309954
71,66254,27008,2.42,2023-03-24 16:08:49.309971
72,88530,78944,3.72,2023-08-19 16:08:49.309987
73,1644,404,2.51,2023-02-23 16:08:49.310004
74,78930,78349,3.96,2023-04-23 16:08:49.310021
75,78276,1280,4.45,2023-06-26 16:08:49.310037
76,45461,118696,3.61,2023-04-28 16:08:49.310053
77,110150,107879,3.16,2022-11-20 16:08:49.310069
78,128535,2858,4.79,2022-12-22 16:08:49.310087
79,89714,3878,3.34,2022-11-22 16:08:49.310104
80,127025,26694,1.73,2023-08-19 16:08:49.310120
81,119511,127220,2.92,2023-09-29 16:08:49.310137
82,9801,6789,4.06,2023-09-14 16:08:49.310153
83,112121,58379,4.81,2023-03-02 16:08:49.310169
84,11189,72681,4.39,2023-05-20 16:08:49.310186
85,82278,112772,3.22,2023-06-21 16:08:49.310203
86,84384,122944,2.46,2022-12-04 16:08:49.310220
87,34827,115210,4.42,2023-05-18 16:08:49.310236
88,55778,204,1.79,2023-01-18 16:08:49.310253
89,11575,69805,3.35,2023-05-16 16:08:49.310270
90,98081,55671,4.36,2023-07-11 16:08:49.310298
91,107517,52173,2.43,2023-01-02 16:08:49.310326
92,106726,107462,2.82,2023-05-03 16:08:49.310343
93,77145,2179,1.84,2023-03-30 16:08:49.310360
94,106842,53468,2.44,2023-05-05 16:08:49.310397
